failure_type,n_train,n_test,n_positives_train,n_positives_test,precision,recall,f1,roc_auc,pr_auc
TWF,8000,2000,37,9,0.0,0.0,0.0,0.9595401529103187,0.05745096995900927
HDF,8000,2000,92,23,0.95,0.8260869565217391,0.8837209302325582,0.9998900398055903,0.9900774556256597
PWF,8000,2000,76,19,1.0,1.0,1.0,1.0,0.9999999999999998
OSF,8000,2000,78,20,0.9444444444444444,0.85,0.8947368421052632,0.9998989898989898,0.9897096908939015
RNF,8000,2000,15,4,0.0,0.0,0.0,0.622557615230461,0.009488166334881663
